gene_symbol,log2FoldChange,pvalue
Cops2,0.04251891,0.99999707
Mrpl52,0.049515204,0.99999707
Scarna6,0.027883108,0.99999707
Gm44819,0.03579963,0.99999707
Fam98b,0.064914583,0.99999707
Vsig10,-0.061780296,0.99999707
Gm14046,0.183912103,0.63091191
6430573P05Rik,-0.009056532,0.99999707
Susd3,-0.005475784,0.99999707
D430036J16Rik,-0.046516108,0.99999707
Gm10689,0.051938175,0.99999707
Pkn1,-0.000154979,0.99999707
RP23-177D16.5,-0.000197481,0.99999707
Gm2076,0.039810125,0.99999707
Mir3474,-0.010856138,0.99999707
Cenpf,0.0991471,0.99999707
Zfp871,0.007225302,0.99999707
4930560O18Rik,0.047874907,0.99999707
Trmt10c,-0.044595288,0.99999707
Zfp467,0.050287757,0.99999707
Top3b,-0.009423761,0.99999707
Atp5h,-0.032254856,0.99999707
Lrrd1,-0.008419997,0.99999707
Isoc2b,-0.050045293,0.99999707
Zfp36,-0.046138407,0.99999707
Slc22a14,0.009038351,0.99999707
3930402G23Rik,0.073327707,0.99999707
Ighv8-6,-0.095647109,0.99999707
Tex22,0.055686031,0.99999707
Ube4a,0.007409103,0.99999707
Gm5354,-0.065318727,0.99999707
Tbc1d32,0.03856549,0.99999707
Lmf2,-0.035518197,0.99999707
Gm13348,0.037417755,0.99999707
Tonsl,-0.00434603,0.99999707
Fryl,-0.025664411,0.99999707
Vdac3-ps1,0.034324889,0.99999707
Psd4,0.011117241,0.99999707
Zyx,-0.005215641,0.99999707
RP24-496O17.9,0.119777624,0.72739407
Ppip5k1,0.123830338,0.714194408
Alox5ap,-0.065334678,0.99999707
Cog4,0.07816131,0.99999707
Thra,0.033265942,0.99999707
Ube2s,0.197420814,0.108665066
3110040N11Rik,0.002194833,0.99999707
Tnik,-0.060579903,0.99999707
Gm6426,0.027595536,0.99999707
Gm37010,-0.004339338,0.99999707
Atp1a1,0.031865273,0.99999707
Oas1g,-0.03192074,0.99999707
A230020J21Rik,-0.051468605,0.99999707
Igkv4-78,0.04814501,0.99999707
Anp32e,-0.116560145,0.99999707
Gm26648,0.025815652,0.99999707
Nudt14,0.092591857,0.99999707
RP24-175C20.10,-0.005978501,0.99999707
Trim69,0.11278759,0.938178987
Gm16973,-0.003731416,0.99999707
Gm44512,-0.019443957,0.99999707
Snapc5,-0.075556453,0.99999707
Acad11,-0.087083464,0.99999707
Hoxa9,0.064834565,0.99999707
RP23-162P10.7,0.008155458,0.99999707
Papd7,-0.045887047,0.99999707
Zcchc14,0.017018147,0.99999707
Gm16248,-0.059083367,0.99999707
Gm45094,-0.117132541,0.99999707
Slc9a3r2,-0.085574705,0.814921351
Htra2,0.098928794,0.99999707
Gm12247,-0.006599112,0.99999707
Tgfbr2,-0.08354453,0.99999707
1700001K19Rik,0.008551603,0.99999707
Elp4,0.149047997,0.557497584
Snora21,0.024266651,0.99999707
L3mbtl3,-0.033634643,0.99999707
Gm14383,0.012156217,0.99999707
Myo1d,0.013050608,0.99999707
Cmc1,-0.007315887,0.99999707
2310058D17Rik,0.104014549,0.288243292
Rbmx,-0.021858209,0.99999707
Zfp41,0.051683269,0.99999707
